Number,Question,Answer1,Answer2,DOI,Year,Author,Comments
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1111/ibi.12125,2014,Altwegg,
9,Pre or post breeding census,post,,10.1111/ibi.12125,2014,Altwegg,
10,Life cycle correctly estimated?,yes,,10.1111/ibi.12125,2014,Altwegg,
11,What is error if one found?,NA,,10.1111/ibi.12125,2014,Altwegg,
12,What metric used for fecundity?,number of fledglings per breeding pair,,10.1111/ibi.12125,2014,Altwegg,
13,Sample size,149,total individuals,10.1111/ibi.12125,2014,Altwegg,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1093/jme/tjw021,2016,Hanly,
2,Organism,insect,treehole mosquito,10.1093/jme/tjw021,2016,Hanly,
3,Do they model an observation process for survival?,no,direct calculations and logistic regression,10.1093/jme/tjw021,2016,Hanly,
4,Do they model an observation process for fecundity?,no,varied from 1-52 to test specific scenario and estimated from data,10.1093/jme/tjw021,2016,Hanly,
5,Was uncertainty reported?,yes,plotted CI for survival,10.1093/jme/tjw021,2016,Hanly,
6,"If reported, was the uncertainty complete for all parameters?",no,reproduction,10.1093/jme/tjw021,2016,Hanly,
7,Was lambda estimated from matrix? If yes what conclusion,yes,remained viable across a range of values of fecundity,10.1093/jme/tjw021,2016,Hanly,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,most influenced by changes in larval survival and growth to next stage,10.1093/jme/tjw021,2016,Hanly,
9,Pre or post breeding census,constant reproduction,,10.1093/jme/tjw021,2016,Hanly,
10,Life cycle correctly estimated?,yes,,10.1093/jme/tjw021,2016,Hanly,
11,What is error if one found?,NA,,10.1093/jme/tjw021,2016,Hanly,
12,What metric used for fecundity?,number of eggs,,10.1093/jme/tjw021,2016,Hanly,
13,Sample size,4300,minimum larvae and pupae collected,10.1093/jme/tjw021,2016,Hanly,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1002/jwmg.628,2014,Chastant,program MARK
2,Organism,bird,double-crested cormorants,10.1002/jwmg.628,2014,Chastant,
3,Do they model an observation process for survival?,yes,Burnham join live-encount dead-recover model,10.1002/jwmg.628,2014,Chastant,PopTools
4,Do they model an observation process for fecundity?,no,direct calculation est of fledglings per active nest,10.1002/jwmg.628,2014,Chastant,
5,Was uncertainty reported?,yes,for survival,10.1002/jwmg.628,2014,Chastant,
6,"If reported, was the uncertainty complete for all parameters?",no,reproduction,10.1002/jwmg.628,2014,Chastant,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"around 1, stable for LOW but decreasing for ELO",10.1002/jwmg.628,2014,Chastant,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,adult survival was most influential,10.1002/jwmg.628,2014,Chastant,
9,Pre or post breeding census,not reported,think post,10.1002/jwmg.628,2014,Chastant,
10,Life cycle correctly estimated?,no,,10.1002/jwmg.628,2014,Chastant,
11,What is error if one found?,missing survival from fecundity measure,,10.1002/jwmg.628,2014,Chastant,
12,What metric used for fecundity?,number of fledglings,proxy for fecundity,10.1002/jwmg.628,2014,Chastant,
13,Sample size,9498,pre-fledged cormorants that were banded,10.1002/jwmg.628,2014,Chastant,
,,,,,,,
1,Is there an MPM in original paper?,no,,10.1111/j.1365-2656.2010.01750.x,2011,Sim,Could be useful for covariance etc
2,Organism,bird,ring ouzel,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
3,Do they model an observation process for survival?,NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
4,Do they model an observation process for fecundity?,NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
5,Was uncertainty reported?,NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
7,Was lambda estimated from matrix? If yes what conclusion,NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
9,Pre or post breeding census,NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
10,Life cycle correctly estimated?,NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
11,What is error if one found?,NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
12,What metric used for fecundity?,NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
13,Sample size,NA,NA,10.1111/j.1365-2656.2010.01750.x,2011,Sim,
,,,,,,,
1,Is there an MPM in original paper?,yes,experiment,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,
2,Organism,insect,butterfly- Boloria eunomia,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,
3,Do they model an observation process for survival?,no,binomial GLM (PROC GENMOD) or GLMM,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,all data from experiment
4,Do they model an observation process for fecundity?,no,Poisson GLMM,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,PROC GLIMMIX SAS
5,Was uncertainty reported?,yes,,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,
6,"If reported, was the uncertainty complete for all parameters?",no,some survival,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"0.608 for baseline, lower than observed 0.97 so survivals underestimated due to manipulation",10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,scaled rates estimated by the proportional difference between observed and estimated lambda
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,overwintering larvae survival most influential,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,
9,Pre or post breeding census,periodic matrix,,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,
10,Life cycle correctly estimated?,yes,,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,
11,What is error if one found?,NA,,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,
12,What metric used for fecundity?,number of eggs,,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,
13,Sample size,1205,number of eggs in experiment 2,10.1111/j.1365-2656.2012.02029.x,2013,Radchuk,
,,,,,,,
1,Is there an MPM in original paper?,no,,10.1111/1365-2656.12238,2014,Cubaynes,"I could not clearly see an actual MPM, was not in key words and not focus of paper"
2,Organism,mammal,wolf,10.1111/1365-2656.12238,2014,Cubaynes,
3,Do they model an observation process for survival?,NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
4,Do they model an observation process for fecundity?,NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
5,Was uncertainty reported?,NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
7,Was lambda estimated from matrix? If yes what conclusion,NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
9,Pre or post breeding census,NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
10,Life cycle correctly estimated?,NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
11,What is error if one found?,NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
12,What metric used for fecundity?,NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
13,Sample size,NA,NA,10.1111/1365-2656.12238,2014,Cubaynes,
,,,,,,,
1,Is there an MPM in original paper?,yes,integrated population model,10.1111/1365-2656.12206,2014,Szostek,error bars not labelled on plot i.e. doesn't tell you what they are
2,Organism,bird,common terns,10.1111/1365-2656.12206,2014,Szostek,
3,Do they model an observation process for survival?,yes,multi-state capture-recapture model,10.1111/1365-2656.12206,2014,Szostek,
4,Do they model an observation process for fecundity?,no,Poisson regression,10.1111/1365-2656.12206,2014,Szostek,"report uncertainty as SD, presumably of the posterior"
5,Was uncertainty reported?,yes,,10.1111/1365-2656.12206,2014,Szostek,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1111/1365-2656.12206,2014,Szostek,really badly written methods and results - equations with nothing defined until much later
7,Was lambda estimated from matrix? If yes what conclusion,no,,10.1111/1365-2656.12206,2014,Szostek,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1111/1365-2656.12206,2014,Szostek,
9,Pre or post breeding census,pre,,10.1111/1365-2656.12206,2014,Szostek,
10,Life cycle correctly estimated?,yes,,10.1111/1365-2656.12206,2014,Szostek,
11,What is error if one found?,NA,,10.1111/1365-2656.12206,2014,Szostek,
12,What metric used for fecundity?,number of fledglings times juvenile survival,,10.1111/1365-2656.12206,2014,Szostek,
13,Sample size,3355,total capture histories,10.1111/1365-2656.12206,2014,Szostek,
,,,,,,,
1,Is there an MPM in original paper?,no,IBM,10.1111/1365-2656.12399,2015,O'Farrell,
2,Organism,fish,Sparisoma viride,10.1111/1365-2656.12399,2015,O'Farrell,
3,Do they model an observation process for survival?,NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
4,Do they model an observation process for fecundity?,NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
5,Was uncertainty reported?,NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
7,Was lambda estimated from matrix? If yes what conclusion,NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
9,Pre or post breeding census,NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
10,Life cycle correctly estimated?,NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
11,What is error if one found?,NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
12,What metric used for fecundity?,NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
13,Sample size,NA,NA,10.1111/1365-2656.12399,2015,O'Farrell,
,,,,,,,
1,Is there an MPM in original paper?,yes,metapopulation demography-bioclimatic model,10.1111/j.1365-2664.2012.02163.x,2012,Harris,linking demography and bioclimatic models
2,Organism,bird,cockatoo,10.1111/j.1365-2664.2012.02163.x,2012,Harris,RAMAS
3,Do they model an observation process for survival?,yes,mark-resight analysis - MARK,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
4,Do they model an observation process for fecundity?,no,estimated number of fledglings,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
5,Was uncertainty reported?,yes,SE of fecundity and survival,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
7,Was lambda estimated from matrix? If yes what conclusion,yes,1.0345,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,latin hypercube sensitivity - adult survival was most important,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
9,Pre or post breeding census,post,,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
10,Life cycle correctly estimated?,yes,,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
11,What is error if one found?,NA,,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
12,What metric used for fecundity?,number of fledglings per female,,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
13,Sample size,317,individuals with observations for survival,10.1111/j.1365-2664.2012.02163.x,2012,Harris,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1111/1365-2664.12194,2014,Crawford,CSIRO Poptools
2,Organism,reptile,diamond back terrapin,10.1111/1365-2664.12194,2014,Crawford,
3,Do they model an observation process for survival?,no,from literature or derived from other estimates and lambda = 1,10.1111/1365-2664.12194,2014,Crawford,
4,Do they model an observation process for fecundity?,no,from literature or derived from other estimates,10.1111/1365-2664.12194,2014,Crawford,
5,Was uncertainty reported?,no,,10.1111/1365-2664.12194,2014,Crawford,
6,"If reported, was the uncertainty complete for all parameters?",NA,,10.1111/1365-2664.12194,2014,Crawford,
7,Was lambda estimated from matrix? If yes what conclusion,yes,declining < 0.98,10.1111/1365-2664.12194,2014,Crawford,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,adult survival was most influential,10.1111/1365-2664.12194,2014,Crawford,
9,Pre or post breeding census,can't tell,not mentioned explicitly,10.1111/1365-2664.12194,2014,Crawford,
10,Life cycle correctly estimated?,yes,,10.1111/1365-2664.12194,2014,Crawford,
11,What is error if one found?,NA,,10.1111/1365-2664.12194,2014,Crawford,
12,What metric used for fecundity?,mean clutch size times mean clutch frequency times egg survival times proportion female,,10.1111/1365-2664.12194,2014,Crawford,
13,Sample size,NA,from literature,10.1111/1365-2664.12194,2014,Crawford,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.3354/esr00657,2015,Whitehead,really important paper
2,Organism,mammal,sperm whale,10.3354/esr00657,2015,Whitehead,
3,Do they model an observation process for survival?,yes,likelihood mark-recapture analysis or log-likelihood of identification,10.3354/esr00657,2015,Whitehead,
4,Do they model an observation process for fecundity?,no,direct calculation: estimate proportion from data,10.3354/esr00657,2015,Whitehead,
5,Was uncertainty reported?,yes,"survival from model, rest from block bootstrap",10.3354/esr00657,2015,Whitehead,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.3354/esr00657,2015,Whitehead,
7,Was lambda estimated from matrix? If yes what conclusion,yes,population decline of 2.7% per year,10.3354/esr00657,2015,Whitehead,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,adult mortality is most influential,10.3354/esr00657,2015,Whitehead,
9,Pre or post breeding census,can't tell,might be continuous breeding,10.3354/esr00657,2015,Whitehead,
10,Life cycle correctly estimated?,no,,10.3354/esr00657,2015,Whitehead,
11,What is error if one found?,should be some survival in fecundity,i.e. survival of calf to next t,10.3354/esr00657,2015,Whitehead,
12,What metric used for fecundity?,probability that a adult gives birth to a calf during the year,but inexplicitly includes perinatal mortality,10.3354/esr00657,2015,Whitehead,
13,Sample size,811,total number of adults identified,10.3354/esr00657,2015,Whitehead,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1080/02755947.2015.1111279,2016,Ng,popbio 
2,Organism,fish,lake trout,10.1080/02755947.2015.1111279,2016,Ng,
3,Do they model an observation process for survival?,yes,Huggins closed population model in Program MARK,10.1080/02755947.2015.1111279,2016,Ng,MARK
4,Do they model an observation process for fecundity?,no,eggs per female then regression to get by age,10.1080/02755947.2015.1111279,2016,Ng,
5,Was uncertainty reported?,yes,parametric bootstrap,10.1080/02755947.2015.1111279,2016,Ng,transient dynamics
6,"If reported, was the uncertainty complete for all parameters?",yes,I think so,10.1080/02755947.2015.1111279,2016,Ng,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"1.03 in abstract, 1.01 asymptotic in results ",10.1080/02755947.2015.1111279,2016,Ng,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,"asymptotic sensitivity analysis, survival of age 2-5 was most important transient sensitivity analysis juvenile surivival was most influential ",10.1080/02755947.2015.1111279,2016,Ng,
9,Pre or post breeding census,pre,weekly sampling,10.1080/02755947.2015.1111279,2016,Ng,
10,Life cycle correctly estimated?,no,,10.1080/02755947.2015.1111279,2016,Ng,
11,What is error if one found?,seems to be eggs rather than recruits but not clear,,10.1080/02755947.2015.1111279,2016,Ng,
12,What metric used for fecundity?,eggs per female,,10.1080/02755947.2015.1111279,2016,Ng,
13,Sample size,4392,"fish caught, 2959 marked and released, 104 recaptured once",10.1080/02755947.2015.1111279,2016,Ng,
,,,,,,,
1,Is there an MPM in original paper?,no,survival analysis only,10.1111/mms.12427,2017,DeLong,
2,Organism,mammal,sea lion,10.1111/mms.12427,2017,DeLong,
3,Do they model an observation process for survival?,NA,NA,10.1111/mms.12427,2017,DeLong,
4,Do they model an observation process for fecundity?,NA,NA,10.1111/mms.12427,2017,DeLong,
5,Was uncertainty reported?,NA,NA,10.1111/mms.12427,2017,DeLong,
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,10.1111/mms.12427,2017,DeLong,
7,Was lambda estimated from matrix? If yes what conclusion,NA,NA,10.1111/mms.12427,2017,DeLong,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,NA,NA,10.1111/mms.12427,2017,DeLong,
9,Pre or post breeding census,NA,NA,10.1111/mms.12427,2017,DeLong,
10,Life cycle correctly estimated?,NA,NA,10.1111/mms.12427,2017,DeLong,
11,What is error if one found?,NA,NA,10.1111/mms.12427,2017,DeLong,
12,What metric used for fecundity?,NA,NA,10.1111/mms.12427,2017,DeLong,
13,Sample size,NA,NA,10.1111/mms.12427,2017,DeLong,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.3354/meps10547,2014,New,
2,Organism,mammal ,elephant seal,10.3354/meps10547,2014,New,
3,Do they model an observation process for survival?,no,"adapted from literature, except pup survival",10.3354/meps10547,2014,New,
4,Do they model an observation process for fecundity?,no,adapted from literature,10.3354/meps10547,2014,New,
5,Was uncertainty reported?,yes,pup survival confidence interval,10.3354/meps10547,2014,New,
6,"If reported, was the uncertainty complete for all parameters?",no,some survival reproduction,10.3354/meps10547,2014,New,
7,Was lambda estimated from matrix? If yes what conclusion,yes,,10.3354/meps10547,2014,New,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.3354/meps10547,2014,New,
9,Pre or post breeding census,can't tell,think it is post,10.3354/meps10547,2014,New,
10,Life cycle correctly estimated?,can't tell,,10.3354/meps10547,2014,New,
11,What is error if one found?,NA,,10.3354/meps10547,2014,New,
12,What metric used for fecundity?,can't tell,"not clearly reported, presumably number of pups per female",10.3354/meps10547,2014,New,
13,Sample size,23,number of females fitted with telemetry device,10.3354/meps10547,2014,New,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.3354/meps10377,2013,Jiménez-Melero,
2,Organism,copepod,Arctodiaptomus salinus,10.3354/meps10377,2013,Jiménez-Melero,
3,Do they model an observation process for survival?,no,"inverse method of estimation, Wood's quadratic programming method",10.3354/meps10377,2013,Jiménez-Melero,estimated vital rates from abundance data using matrix
4,Do they model an observation process for fecundity?,no,"inverse method of estimation, Wood's quadratic programming method",10.3354/meps10377,2013,Jiménez-Melero,
5,Was uncertainty reported?,no,can't see it but was reported for other models in paper,10.3354/meps10377,2013,Jiménez-Melero,
6,"If reported, was the uncertainty complete for all parameters?",NA,,10.3354/meps10377,2013,Jiménez-Melero,
7,Was lambda estimated from matrix? If yes what conclusion,no,,10.3354/meps10377,2013,Jiménez-Melero,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.3354/meps10377,2013,Jiménez-Melero,
9,Pre or post breeding census,can't tell,think it is pre but time step not a year,10.3354/meps10377,2013,Jiménez-Melero,
10,Life cycle correctly estimated?,can't tell,,10.3354/meps10377,2013,Jiménez-Melero,
11,What is error if one found?,NA,,10.3354/meps10377,2013,Jiménez-Melero,
12,What metric used for fecundity?,nauplii recruitment,includes hatching success and larval mortality,10.3354/meps10377,2013,Jiménez-Melero,
13,Sample size,can't tell,not reported,10.3354/meps10377,2013,Jiménez-Melero,pretty certain it is not reported!
,,,,,,,
1,Is there an MPM in original paper?,no,has a matrix but not a matrix population model,10.3354/meps09094,2011,Button,authors describe it as foundation for a MPM
2,Organism,gastropoda,pink abalone,10.3354/meps09094,2011,Button,
3,Do they model an observation process for survival?,NA,NA,10.3354/meps09094,2011,Button,
4,Do they model an observation process for fecundity?,NA,NA,10.3354/meps09094,2011,Button,
5,Was uncertainty reported?,NA,NA,10.3354/meps09094,2011,Button,
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,10.3354/meps09094,2011,Button,
7,Was lambda estimated from matrix? If yes what conclusion,NA,NA,10.3354/meps09094,2011,Button,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,NA,NA,10.3354/meps09094,2011,Button,
9,Pre or post breeding census,NA,NA,10.3354/meps09094,2011,Button,
10,Life cycle correctly estimated?,NA,NA,10.3354/meps09094,2011,Button,
11,What is error if one found?,NA,NA,10.3354/meps09094,2011,Button,
12,What metric used for fecundity?,NA,NA,10.3354/meps09094,2011,Button,
13,Sample size,NA,NA,10.3354/meps09094,2011,Button,
,,,,,,,
1,Is there an MPM in original paper?,yes,use over 1000 matrices,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
2,Organism,mammal,humans,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
3,Do they model an observation process for survival?,no,direct calculation: 1 - 5 times deaths/population size,10.1007/s10144-018-0620-y,2018,Nicol-Harper,bit suspect that some survival estimates became negative
4,Do they model an observation process for fecundity?,no,direct calculation: 5 times births over population size times square root of maternal survival times square root of 0-4 survival ,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
5,Was uncertainty reported?,no,,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
6,"If reported, was the uncertainty complete for all parameters?",NA,,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
7,Was lambda estimated from matrix? If yes what conclusion,yes,hovers around 1 but decreases towards end of time series,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
9,Pre or post breeding census,birth flow,5 year time step,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
10,Life cycle correctly estimated?,yes,not super clear,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
11,What is error if one found?,NA,,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
12,What metric used for fecundity?,5 times births divided by female population size times maternal and infant survival,,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
13,Sample size,not reported,,10.1007/s10144-018-0620-y,2018,Nicol-Harper,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
2,Organism,mammal,elk,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
3,Do they model an observation process for survival?,no,"non-parametric Kaplan-Meier survival analysis adults, calves known fate approach in program MARK sub-groups of adults decomposed by proportion in population and survival from yellowstone",10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
4,Do they model an observation process for fecundity?,no,direct calculation and logistic regression and assumptions of decline from previous study,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
5,Was uncertainty reported?,yes,and propagated through simulation,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
7,Was lambda estimated from matrix? If yes what conclusion,yes,stochastic growth rate migrant 0.866 and resident 0.897,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
9,Pre or post breeding census,pre,,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
10,Life cycle correctly estimated?,yes,,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
11,What is error if one found?,NA,,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
12,What metric used for fecundity?,fecundity (pregnancy) and calf survival,,10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
13,Sample size,352,"total captured: 150pregnant females, 132 for adult female survival, 79 calves for calf survival",10.1111/j.1600-0706.2011.19436.x,2011,Hebblewhite,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.7717/peerj.549,2014,Beissinger,very data poor species
2,Organism,fish,Devils Hole pupfish,10.7717/peerj.549,2014,Beissinger,
3,Do they model an observation process for survival?,no,range from expert opinion/literature,10.7717/peerj.549,2014,Beissinger,
4,Do they model an observation process for fecundity?,no,range from expert opinion/literature,10.7717/peerj.549,2014,Beissinger,
5,Was uncertainty reported?,yes,a range of values was chosen for each matrix element,10.7717/peerj.549,2014,Beissinger,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.7717/peerj.549,2014,Beissinger,
7,Was lambda estimated from matrix? If yes what conclusion,no,,10.7717/peerj.549,2014,Beissinger,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,adults had the greatest influence,10.7717/peerj.549,2014,Beissinger,
9,Pre or post breeding census,post,7 day time step,10.7717/peerj.549,2014,Beissinger,
10,Life cycle correctly estimated?,yes,,10.7717/peerj.549,2014,Beissinger,
11,What is error if one found?,NA,,10.7717/peerj.549,2014,Beissinger,
12,What metric used for fecundity?,number of eggs,,10.7717/peerj.549,2014,Beissinger,
13,Sample size,NA,random sample of parameters from expert opinion,10.7717/peerj.549,2014,Beissinger,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1007/s10144-012-0306-9,2012,Kerbiriou,DON'T LABEL WHAT THE ± IS!!!!!
2,Organism,bird,northern fulmar,10.1007/s10144-012-0306-9,2012,Kerbiriou,program ULM
3,Do they model an observation process for survival?,maybe,from literature but I think from capture-recapture models OR robust design spatial occupancy model in program PRESENCE,10.1007/s10144-012-0306-9,2012,Kerbiriou,
4,Do they model an observation process for fecundity?,no,from literature or direct calculation of number of fledge offspring per apparently occupied sites,10.1007/s10144-012-0306-9,2012,Kerbiriou,
5,Was uncertainty reported?,yes,some between model uncertainty and range of reproductive values,10.1007/s10144-012-0306-9,2012,Kerbiriou,
6,"If reported, was the uncertainty complete for all parameters?",no,survival,10.1007/s10144-012-0306-9,2012,Kerbiriou,
7,Was lambda estimated from matrix? If yes what conclusion,yes,0.96 to 1.07 with literature estimates but 0.84 with data,10.1007/s10144-012-0306-9,2012,Kerbiriou,estimated decrease is not consistent with actual observed dynamics
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,highest elasticity was breeding probability but reproduction had greater variation so was more important,10.1007/s10144-012-0306-9,2012,Kerbiriou,
9,Pre or post breeding census,not reported,doesn't say,10.1007/s10144-012-0306-9,2012,Kerbiriou,
10,Life cycle correctly estimated?,yes,survival included in fecundity,10.1007/s10144-012-0306-9,2012,Kerbiriou,
11,What is error if one found?,NA,,10.1007/s10144-012-0306-9,2012,Kerbiriou,
12,What metric used for fecundity?,number of chicks apparently fledging divided by number of apparently occupied sites,,10.1007/s10144-012-0306-9,2012,Kerbiriou,
13,Sample size,530,apparently occupied sites monitored across all sites,10.1007/s10144-012-0306-9,2012,Kerbiriou,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1007/s10144-015-0499-9,2015,Strauss,program MARK
2,Organism,mammal,giraffe,10.1007/s10144-015-0499-9,2015,Strauss,test different reproduction rates
3,Do they model an observation process for survival?,yes,robust design model in program MARK and literature,10.1007/s10144-015-0499-9,2015,Strauss,two additional populations with literature estimates
4,Do they model an observation process for fecundity?,yes ,estimated from observations and literature (inc adult survival so has some observation process),10.1007/s10144-015-0499-9,2015,Strauss,
5,Was uncertainty reported?,yes,gives range of reproduction values SHOULD have survival too but doesn't,10.1007/s10144-015-0499-9,2015,Strauss,
6,"If reported, was the uncertainty complete for all parameters?",no,survival,10.1007/s10144-015-0499-9,2015,Strauss,
7,Was lambda estimated from matrix? If yes what conclusion,yes,ranges from 0.92 to 1.03 across all populations,10.1007/s10144-015-0499-9,2015,Strauss,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,adult survival had greatest influence,10.1007/s10144-015-0499-9,2015,Strauss,
9,Pre or post breeding census,not reported,guess post,10.1007/s10144-015-0499-9,2015,Strauss,
10,Life cycle correctly estimated?,yes,included survival of female in fertility,10.1007/s10144-015-0499-9,2015,Strauss,
11,What is error if one found?,NA,,10.1007/s10144-015-0499-9,2015,Strauss,
12,What metric used for fecundity?,number of calves observed per 100 adult females per field season,included survival of female in fertility,10.1007/s10144-015-0499-9,2015,Strauss,
13,Sample size,917,total identified individuals across three sites,10.1007/s10144-015-0499-9,2015,Strauss,
,,,,,,,
