Vital rate,Matrix position,Estimate,Uncertainty1,Uncertainty2,Uncertainty type,Method of estimation,Propagated to final matrix?,Sample size,Which model,DOI,Year,Author,Comments,
Survival 2,"3,2",0.624,0.064,NA,standard error,Capture-mark-recapture model (bootstrap beta dist),yes,can't tell,NA,10.2981/13-021,2013,Suzuki,,
Survival 3,"4,3",0.513,0.087,NA,standard error,Capture-mark-recapture model (bootstrap beta dist),yes,can't tell,NA,10.2981/13-021,2013,Suzuki,,
Survival 4,"5,4",0.732,0.151,NA,standard error,Capture-mark-recapture model (bootstrap beta dist),yes,can't tell,NA,10.2981/13-021,2013,Suzuki,,
Survival 5,"6,5",0.447,0.22,NA,standard error,Capture-mark-recapture model (bootstrap beta dist),yes,can't tell,NA,10.2981/13-021,2013,Suzuki,,
Survival 6+,"6,6",0.486,0.089,NA,standard error,Capture-mark-recapture model (bootstrap beta dist),yes,can't tell,NA,10.2981/13-021,2013,Suzuki,,
lambda,NA,1.105,0.985,1.231,confidence interval,parametric bootstrap,yes,NA,minium scenario,10.2981/13-021,2013,Suzuki,,
lambda,NA,1.114,0.996,1.239,confidence interval,parametric bootstrap,yes,NA,maximum scenario,10.2981/13-021,2013,Suzuki,,
lambda,NA,0.98,0.68,1.388,confidence interval,simulation,yes,NA,NA,10.1002/wmon.1012,2014,Howerter,median and 5th 95th percentiles,
breeding survival ASY,NA,0.75,0.059,NA,process variation,parametric bootstrap beta distribution,yes,not clear (max = 3214),NA,10.1002/wmon.1012,2014,Howerter,plotted only or in text for relation with covariate not the actual mean/median amount,
breeding survival SY,NA,0.758,0.024,NA,process variation,parametric bootstrap beta distribution,yes,not clear (max = 3214),NA,10.1002/wmon.1012,2014,Howerter,,
non-breeding survival ASY,NA,0.832,0.063,NA,process variation,parametric bootstrap beta distribution,yes,not clear (max = 3214),NA,10.1002/wmon.1012,2014,Howerter,,
non-breeding survival SY,NA,0.891,0.081,NA,process variation,parametric bootstrap beta distribution,yes,not clear (max = 3214),NA,10.1002/wmon.1012,2014,Howerter,,
clutch size ASY,NA,4.31,0.159,NA,process variation,parametric bootstrap normal distribution,yes,not clear,NA,10.1002/wmon.1012,2014,Howerter,,
clutch size SY,NA,4.17,0.195,NA,process variation,parametric bootstrap normal distribution,yes,not clear,NA,10.1002/wmon.1012,2014,Howerter,,
duckling survival ASY,NA,0.483,0.128,NA,process variation,parametric bootstrap beta distribution,yes,not clear (max = 3440),NA,10.1002/wmon.1012,2014,Howerter,,
duckling survival SY,NA,0.493,0.179,NA,process variation,parametric bootstrap beta distribution,yes,not clear (max = 3440),NA,10.1002/wmon.1012,2014,Howerter,,
egg hatchability ASY,NA,0.94,0.035,NA,process variation,parametric bootstrap beta distribution,yes,not clear,NA,10.1002/wmon.1012,2014,Howerter,,
egg hatchability SY,NA,0.93,0.056,NA,process variation,parametric bootstrap beta distribution,yes,not clear,NA,10.1002/wmon.1012,2014,Howerter,,
nest survival ASY,NA,0.105,0.061,NA,process variation,parametric bootstrap beta distribution,yes,not clear (max = 4619),NA,10.1002/wmon.1012,2014,Howerter,,
nest survival SY,NA,0.079,0.056,NA,process variation,parametric bootstrap beta distribution,yes,not clear (max = 4619),NA,10.1002/wmon.1012,2014,Howerter,,
nesting effort ASY,NA,3.2,0.601,NA,process variation,parametric bootstrap normal distribution,yes,not clear (max = 4909),NA,10.1002/wmon.1012,2014,Howerter,,
nesting effort SY,NA,2.63,0.468,NA,process variation,parametric bootstrap normal distribution,yes,not clear (max = 4909),NA,10.1002/wmon.1012,2014,Howerter,,
annual survival ASY,"2,2",0.623,0.067,NA,process variation,parametric bootstrap beta distribution,yes,not clear (max = 3214),NA,10.1002/wmon.1012,2014,Howerter,,
annual survival SY,"2,1",0.676,0.029,NA,process variation,parametric bootstrap beta distribution,yes,not clear (max = 3214),NA,10.1002/wmon.1012,2014,Howerter,,
lambda,NA,0.8,NA,NA,NA,NA,NA,NA,Hunting and infanticide HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,1.05,NA,NA,NA,NA,NA,NA,Hunting and infanticide LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,0.78,0.11,NA,standard deviation,stochastic simulation,NA,NA,Hunting and infanticide HH stochastic,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,1.05,0.01,NA,standard deviation,stochastic simulation,NA,NA,Hunting and infanticide LH stochastic,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,0.99,NA,NA,NA,NA,NA,NA,infanticide HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,1.14,NA,NA,NA,NA,NA,NA,infanticide LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,0.98,0.04,NA,standard deviation,stochastic simulation,NA,NA,infanticide HH stochastic,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,1.14,0.03,NA,standard deviation,stochastic simulation,NA,NA,infanticide LH stochastic,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,1.13,NA,NA,NA,NA,NA,NA,no deaths HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,1.14,NA,NA,NA,NA,NA,NA,no deaths LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,1.14,0.01,NA,standard deviation,stochastic simulation,NA,NA,no deaths HH stochastic,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,1.14,0.03,NA,standard deviation,stochastic simulation,NA,NA,no deaths LH stochastic,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,0.89,NA,NA,NA,NA,NA,NA,hunting HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,1.05,NA,NA,NA,NA,NA,NA,hunting LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,0.89,0.17,NA,standard deviation,stochastic simulation,NA,NA,hunting LH stochastic,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
lambda,NA,1.05,0.01,NA,standard deviation,stochastic simulation,NA,NA,hunting HH stochastic,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
kitten mortality,NA,0,0,NA,standard deviation,mean,no,23,Hunting HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
kitten mortality,NA,0.69,0.18,NA,standard deviation,mean,no,23,Nature/other HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
kitten mortality,NA,0,0,NA,standard deviation,mean,no,19,Hunting LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
kitten mortality,NA,0.42,0.17,NA,standard deviation,mean,no,19,Nature/other LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Juvenile mortality,NA,0.31,0.12,NA,standard deviation,mean,no,18,Hunting HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Juvenile mortality,NA,0.07,0,NA,standard deviation,mean,no,18,Nature/other HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Juvenile mortality,NA,0.23,0.21,NA,standard deviation,mean,no,13,Hunting LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Juvenile mortality,NA,0.15,0.13,NA,standard deviation,mean,no,13,Nature/other LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Female adult mortality,NA,0.22,0.07,NA,standard deviation,mean,no,19,Hunting HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Female adult mortality,NA,0.12,0.06,NA,standard deviation,mean,no,19,Nature/other HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Female adult mortality,NA,0.04,0.04,NA,standard deviation,mean,no,12,Hunting LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Female adult mortality,NA,0.09,0.06,NA,standard deviation,mean,no,12,Nature/other LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Fecundity ,NA,0.38,NA,NA,NA,Direct calculation,NA,not reported,Hunting and infanticide HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Fecundity,NA,0.46,NA,NA,NA,Direct calculation,NA,not reported,Hunting and infanticide LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Fecundity ,NA,0.51,NA,NA,NA,Direct calculation,NA,not reported,No hunting HH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Fecundity,NA,0.51,NA,NA,NA,Direct calculation,NA,not reported,No hunting LH,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
kitten mortality,NA,0.31,0.1,NA,standard deviation,mean,no,23,HH Model 1,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
kitten mortality,NA,0.31,0.1,NA,standard deviation,mean,no,23,HH Model 2,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
kitten mortality,NA,0.59,0.1,NA,standard deviation,mean,no,23,HH Model 3,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
kitten mortality,NA,0.59,0.1,NA,standard deviation,mean,no,23,HH Model 4,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Juvenile mortality,NA,0.62,0.06,NA,standard deviation,mean,no,18,HH Model 1,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Juvenile mortality,NA,0.93,0.06,NA,standard deviation,mean,no,18,HH Model 2,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Juvenile mortality,NA,0.93,0.06,NA,standard deviation,mean,no,18,HH Model 3,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Juvenile mortality,NA,0.62,0.06,NA,standard deviation,mean,no,18,HH Model 4,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Female adult mortality,NA,0.66,0.08,NA,standard deviation,mean,no,19,HH Model 1,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Female adult mortality,NA,0.88,0.08,NA,standard deviation,mean,no,19,HH Model 2,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Female adult mortality,NA,0.88,0.08,NA,standard deviation,mean,no,19,HH Model 3,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
Female adult mortality,NA,0.66,0.08,NA,standard deviation,mean,no,19,HH Model 4,10.1016/j.biocon.2013.07.008,2013,Wielgus,,
fecundity,NA,1.5,Can't find it,NA,standard deviation,assumption of clutch size of 3/2,NA,not reported,NA,10.1017/S0376892917000340,2018,Pickett,,
fledgling survival,NA,0.366,Can't find it,NA,standard deviation,Direct calculation,NA,not reported,NA,10.1017/S0376892917000340,2018,Pickett,,
juvenile survival 1,NA,0.805,Can't find it,NA,standard deviation,Direct calculation,NA,not reported,NA,10.1017/S0376892917000340,2018,Pickett,,
juvenile survival 2,NA,0.828,Can't find it,NA,standard deviation,Direct calculation,NA,not reported,NA,10.1017/S0376892917000340,2018,Pickett,,
male juvenile survival 3,NA,0.839,Can't find it,NA,standard deviation,Direct calculation,NA,not reported,NA,10.1017/S0376892917000340,2018,Pickett,,
adult survival,NA,0.838,0.165,NA,standard deviation,Direct calculation,NA,not reported,NA,10.1017/S0376892917000340,2018,Pickett,,
population size,NA,14044,8616,19472,± 1 standard deviation,stochastic sampling of vital rates from log normal distributions using standard deviations,NA,NA,base model,10.1017/S0376892917000340,2018,Pickett,not clear where standard deviations came from,
population size,NA,plotted only,plotted only,plotted only,confidence interval,stochastic sampling of vital rates from log normal distributions using standard deviations,NA,NA,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,plotted only,
female reproduction 3,"1,3",11.5,4,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female reproduction 4,"1,4",11.5,4,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female reproduction 5,"1,5",11.5,4,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female reproduction 6,"1,6",11.5,4,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female reproduction 7,"1,7",9,3,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female survival 1,"2,1",0.15,0.1,NA,standard deviation,assumption,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female survival 2,"3,2",0.15,0.1,NA,standard deviation,assumption,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female survival 3,"4,3",0.85,0.05,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female survival 4,"5,4",0.85,0.05,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female survival 5,"6,5",0.85,0.05,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female survival 6,"7,6",0.85,0.05,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
female survival 7,"7,7",0.85,0.05,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male reproduction 3,"1,3",11.5,4,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male reproduction 4,"1,4",11.5,4,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male reproduction 5,"1,5",11.5,4,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male reproduction 6,"1,6",11.5,4,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male reproduction 7,"1,7",0,NA,NA,NA,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male survival 1,"2,1",0.15,0.1,NA,standard deviation,assumption,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male survival 2,"3,2",0.15,0.1,NA,standard deviation,assumption,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male survival 3,"4,3",0.47,0.15,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male survival 4,"5,4",0.47,0.15,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male survival 5,"6,5",0.47,0.15,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male survival 6,"7,6",0.47,0.15,NA,standard deviation,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
male survival 7,"7,7",0,NA,NA,NA,from literature,NA,not reported,NA,10.1111/j.1600-0587.2010.06263.x,2011,Minin,,
lambda,NA,1.25,1.23,1.26,confidence interval,parametric bootstrap,NA,NA,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
lambda,NA,1.17,1.16,1.19,confidence interval,parametric bootstrap,NA,NA,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
lambda,NA,1.17,1.16,1.18,confidence interval,parametric bootstrap,NA,NA,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 1,"1,1",0.32,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,50,flower,10.1111/eea.12325,2015,Cibils-Stewart,propagated to lambda and elasticity,
stasis 2,"2,2",0.3,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 3,"3,3",0.41,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 4,"4,4",0.49,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 5,"5,5",0.95,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 6,"6,6",0.74,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 1,"2,1",0.6,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,50,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 2,"3,2",0.57,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 3,"4,3",0.41,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 4,"5,4",0.37,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 5,"6,5",0.05,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
fecundity 1,"1,5",3.25,0.1,NA,standard error,direct calculation then parameteric bootstrap from normal,yes,25,flower,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 1,"1,1",0.41,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,50,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 2,"2,2",0.57,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 3,"3,3",0.43,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 4,"4,4",0.53,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 5,"5,5",0.95,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 6,"6,6",0.88,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 1,"2,1",0.56,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,50,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 2,"3,2",0.33,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 3,"4,3",0.39,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 4,"5,4",0.34,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 5,"6,5",0.05,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
fecundity 1,"1,5",2.04,0.1,NA,standard error,direct calculation then parameteric bootstrap from normal,yes,36,leaf top,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 1,"1,1",0.31,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,50,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 2,"2,2",0.42,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 3,"3,3",0.53,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 4,"4,4",0.52,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 5,"5,5",0.95,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
stasis 6,"6,6",0.85,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 1,"2,1",0.63,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,50,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 2,"3,2",0.46,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 3,"4,3",0.29,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 4,"5,4",0.33,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
growth 5,"6,5",0.05,not reported,not reported,standard error,direct calculation then parameteric bootstrap from beta distribution,yes,can't tell,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
fecundity 1,"1,5",2.15,0.1,NA,standard error,direct calculation then parameteric bootstrap from normal,yes,27,leaf bottom,10.1111/eea.12325,2015,Cibils-Stewart,,
fecundity 3,"1,3",2.59,Can't find it,Can't find it,confidence interval,LMM,no,can't tell,ambient cohort,10.1007/s10144-016-0562-1,2016,Grear,experiment,
fecundity 4,"1,4",5.5,Can't find it,Can't find it,confidence interval,LMM,no,can't tell,ambient cohort,10.1007/s10144-016-0562-1,2016,Grear,,
fecundity 3,"1,3",1.39,Can't find it,Can't find it,confidence interval,LMM,no,can't tell,CO2 cohort,10.1007/s10144-016-0562-1,2016,Grear,,
fecundity 4,"1,4",4.31,Can't find it,Can't find it,confidence interval,LMM,no,can't tell,CO2 cohort,10.1007/s10144-016-0562-1,2016,Grear,,
growth 1,"2,1",0.95,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,cohort all,10.1007/s10144-016-0562-1,2016,Grear,,
growth 2,"3,2",0.95,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,cohort all,10.1007/s10144-016-0562-1,2016,Grear,,
growth 3,"4,3",0.95,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,cohort all,10.1007/s10144-016-0562-1,2016,Grear,,
survival 4,"4,4",0.95,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,cohort all,10.1007/s10144-016-0562-1,2016,Grear,,
fecundity 3,"1,3",0.51,NA,NA,NA,LMM,NA,can't tell,pop experiment all,10.1007/s10144-016-0562-1,2016,Grear,,
survival 1,"1,1",0.63,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,ambient pop ex,10.1007/s10144-016-0562-1,2016,Grear,,
growth 1,"2,1",0.18,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,ambient pop ex,10.1007/s10144-016-0562-1,2016,Grear,,
survival 2,"2,2",0.71,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,ambient pop ex,10.1007/s10144-016-0562-1,2016,Grear,,
growth 2,"3,2",0.21,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,ambient pop ex,10.1007/s10144-016-0562-1,2016,Grear,,
survival 3,"3,3",0.69,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,ambient pop ex,10.1007/s10144-016-0562-1,2016,Grear,,
survival 1,"1,1",0.64,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,CO2 pop ex,10.1007/s10144-016-0562-1,2016,Grear,,
growth 1,"2,1",0.16,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,CO2 pop ex,10.1007/s10144-016-0562-1,2016,Grear,,
survival 2,"2,2",0.69,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,CO2 pop ex,10.1007/s10144-016-0562-1,2016,Grear,,
growth 2,"3,2",0.23,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,CO2 pop ex,10.1007/s10144-016-0562-1,2016,Grear,,
survival 3,"3,3",0.67,NA,NA,NA,logit linear function/logistic regression,NA,can't tell,CO2 pop ex,10.1007/s10144-016-0562-1,2016,Grear,,
small survival,NA,0.012,NA,NA,NA,quadratic programming routine,NA,not reported,CGD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
small to medium,"2,1",0.905,NA,NA,NA,quadratic programming routine,NA,not reported,CGD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,first row is still survival here,
medium to medium,"2,2",0.831,NA,NA,NA,quadratic programming routine,NA,not reported,CGD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
medium to large,"3,2",0.087,NA,NA,NA,quadratic programming routine,NA,not reported,CGD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
large to large,"3,3",0.918,NA,NA,NA,quadratic programming routine,NA,not reported,CGD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
lambda,NA,0.918,0.9,0.935,,bootstrapped: method not given,NA,not reported,CGD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,mean lambda is just the same as large survival. CHECKED and is correct,
small survival,NA,0.5,NA,NA,NA,quadratic programming routine,NA,not reported,LQY,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
small to medium,"2,1",0.464,NA,NA,NA,quadratic programming routine,NA,not reported,LQY,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
medium to medium,"2,2",0.828,NA,NA,NA,quadratic programming routine,NA,not reported,LQY,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
medium to large,"3,2",0.136,NA,NA,NA,quadratic programming routine,NA,not reported,LQY,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
large to large,"3,3",0.964,NA,NA,NA,quadratic programming routine,NA,not reported,LQY,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
lambda,NA,0.964,0.952,0.975,,bootstrapped: method not given,NA,not reported,LQY,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
small survival,NA,0.617,NA,NA,NA,quadratic programming routine,NA,not reported,TMD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
small to medium,"2,1",0.324,NA,NA,NA,quadratic programming routine,NA,not reported,TMD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
medium to medium,"2,2",0.797,NA,NA,NA,quadratic programming routine,NA,not reported,TMD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
medium to large,"3,2",0.144,NA,NA,NA,quadratic programming routine,NA,not reported,TMD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
large to large,"3,3",0.941,NA,NA,NA,quadratic programming routine,NA,not reported,TMD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
lambda,NA,0.941,0.926,0.955,,bootstrapped: method not given,NA,not reported,TMD,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
small survival,NA,0.441,NA,NA,NA,quadratic programming routine,NA,not reported,MLN,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
small to medium,"2,1",0.514,NA,NA,NA,quadratic programming routine,NA,not reported,MLN,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
medium to medium,"2,2",0.704,NA,NA,NA,quadratic programming routine,NA,not reported,MLN,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
medium to large,"3,2",0.25,NA,NA,NA,quadratic programming routine,NA,not reported,MLN,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,,
